DATE,DEXUSEU
1/5/00,1.01786
1/12/00,1.02946
1/19/00,1.01585
1/26/00,1.00608
2/2/00,0.97822
2/9/00,0.98412
2/16/00,0.98342
2/23/00,0.99475
3/1/00,0.97412
3/8/00,0.95952
3/15/00,0.96662
3/22/00,0.9685
3/29/00,0.96396
4/5/00,0.95926
4/12/00,0.958
4/19/00,0.94968
4/26/00,0.93266
5/3/00,0.90502
5/10/00,0.8986
5/17/00,0.90426
5/24/00,0.90124
5/31/00,0.9256
6/7/00,0.9476
6/14/00,0.95654
6/21/00,0.95624
6/28/00,0.94052
7/5/00,0.95335
7/12/00,0.9486
7/19/00,0.93246
7/26/00,0.93506
8/2/00,0.92416
8/9/00,0.90464
8/16/00,0.90876
8/23/00,0.90358
8/30/00,0.89888
9/6/00,0.886225
9/13/00,0.86528
9/20/00,0.85376
9/27/00,0.87418
10/4/00,0.87872
10/11/00,0.86905
10/18/00,0.85198
10/25/00,0.83608
11/1/00,0.84358
11/8/00,0.85868
11/15/00,0.85898
11/22/00,0.8483
11/29/00,0.85015
12/6/00,0.8803
12/13/00,0.8806
12/20/00,0.89456
12/27/00,0.92345
1/3/01,0.939575
1/10/01,0.94506
1/17/01,0.94215
1/24/01,0.9366
1/31/01,0.9237
2/7/01,0.93542
2/14/01,0.92278
2/21/01,0.9098
2/28/01,0.91194
3/7/01,0.93014
3/14/01,0.92354
3/21/01,0.89968
3/28/01,0.89108
4/4/01,0.88736
4/11/01,0.89464
4/18/01,0.88604
4/25/01,0.89638
5/2/01,0.89342
5/9/01,0.88868
5/16/01,0.87858
5/23/01,0.87238
5/30/01,0.85675
6/6/01,0.84624
6/13/01,0.84902
6/20/01,0.858
6/27/01,0.85938
7/4/01,0.8469
7/11/01,0.8496
7/18/01,0.85712
7/25/01,0.87256
8/1/01,0.87618
8/8/01,0.88022
8/15/01,0.89896
8/22/01,0.91478
8/29/01,0.91158
9/5/01,0.900225
9/12/01,0.9011
9/19/01,0.92058
9/26/01,0.91884
10/3/01,0.91538
10/10/01,0.914425
10/17/01,0.90644
10/24/01,0.89472
10/31/01,0.89952
11/7/01,0.90036
11/14/01,0.887125
11/21/01,0.88112
11/28/01,0.8814
12/5/01,0.88976
12/12/01,0.89108
12/19/01,0.90152
12/26/01,0.884675
1/2/02,0.889925
1/9/02,0.89352
1/16/02,0.89024
1/23/02,0.88295
1/30/02,0.86666
2/6/02,0.86514
2/13/02,0.87386
2/20/02,0.8728
2/27/02,0.87012
3/6/02,0.86972
3/13/02,0.87688
3/20/02,0.88212
3/27/02,0.87776
